isco08,exposure_pct,exposure_gradient
1111,31,Not Exposed
1112,38,Minimal Exposure
1113,23,Not Exposed
1114,37,Minimal Exposure
1120,38,Minimal Exposure
1211,37,Minimal Exposure
1212,36,Minimal Exposure
1213,36,Not Exposed
1219,42,Exposed: Gradient 2
1221,41,Exposed: Gradient 2
1222,39,Minimal Exposure
1223,40,Minimal Exposure
1311,27,Minimal Exposure
1312,22,Not Exposed
1321,38,Minimal Exposure
1322,35,Minimal Exposure
1323,34,Minimal Exposure
1324,38,Minimal Exposure
1330,44,Exposed: Gradient 2
1341,30,Minimal Exposure
1342,36,Minimal Exposure
1343,34,Minimal Exposure
1344,37,Minimal Exposure
1345,36,Minimal Exposure
1346,47,Exposed: Gradient 2
1349,38,Minimal Exposure
1411,37,Exposed: Gradient 1
1412,36,Minimal Exposure
1420,44,Exposed: Gradient 2
1431,32,Minimal Exposure
2111,38,Exposed: Gradient 1
2112,54,Exposed: Gradient 3
2113,39,Minimal Exposure
2114,36,Minimal Exposure
2120,56,Exposed: Gradient 3
2131,40,Exposed: Gradient 2
2132,29,Not Exposed
2133,38,Minimal Exposure
2141,37,Minimal Exposure
2142,30,Not Exposed
2143,38,Minimal Exposure
2144,32,Not Exposed
2145,35,Minimal Exposure
2146,29,Not Exposed
2149,30,Not Exposed
2151,31,Not Exposed
2152,42,Exposed: Gradient 2
2153,48,Exposed: Gradient 2
2161,37,Minimal Exposure
2162,37,Minimal Exposure
2163,35,Minimal Exposure
2164,41,Minimal Exposure
2165,44,Exposed: Gradient 2
2166,49,Exposed: Gradient 2
2211,29,Not Exposed
2212,27,Not Exposed
2221,25,Not Exposed
2222,30,Minimal Exposure
2230,32,Minimal Exposure
2240,23,Not Exposed
2250,14,Not Exposed
2261,15,Not Exposed
2262,33,Minimal Exposure
2263,28,Not Exposed
2264,28,Minimal Exposure
2265,41,Minimal Exposure
2266,24,Not Exposed
2267,24,Not Exposed
2269,19,Not Exposed
2310,37,Minimal Exposure
2320,35,Minimal Exposure
2330,30,Not Exposed
2341,26,Not Exposed
2342,21,Not Exposed
2351,39,Exposed: Gradient 1
2352,28,Not Exposed
2353,34,Minimal Exposure
2354,35,Minimal Exposure
2355,35,Minimal Exposure
2356,47,Exposed: Gradient 2
2359,33,Minimal Exposure
2411,51,Exposed: Gradient 3
2412,57,Exposed: Gradient 3
2413,62,Exposed: Gradient 4
2421,46,Exposed: Gradient 2
2422,42,Minimal Exposure
2423,45,Exposed: Gradient 2
2424,41,Exposed: Gradient 2
2431,55,Exposed: Gradient 3
2432,43,Exposed: Gradient 2
2433,50,Exposed: Gradient 3
2434,51,Exposed: Gradient 3
2511,49,Exposed: Gradient 2
2512,53,Exposed: Gradient 3
2513,60,Exposed: Gradient 4
2514,57,Exposed: Gradient 3
2519,55,Exposed: Gradient 3
2521,57,Exposed: Gradient 3
2522,57,Exposed: Gradient 3
2523,52,Exposed: Gradient 3
2529,49,Exposed: Gradient 2
2611,36,Minimal Exposure
2612,31,Not Exposed
2619,37,Minimal Exposure
2621,47,Exposed: Gradient 2
2622,55,Exposed: Gradient 3
2631,55,Exposed: Gradient 3
2632,48,Exposed: Gradient 2
2633,47,Exposed: Gradient 2
2634,39,Exposed: Gradient 1
2635,28,Not Exposed
2636,17,Not Exposed
2641,55,Exposed: Gradient 3
2642,54,Exposed: Gradient 3
2643,59,Exposed: Gradient 3
2651,21,Not Exposed
2652,28,Not Exposed
2653,19,Not Exposed
2654,37,Minimal Exposure
2655,31,Minimal Exposure
2656,47,Exposed: Gradient 2
2659,13,Not Exposed
