soc_code,isco08
11-1011,1112
11-1011,1113
11-1011,1120
11-1021,1112
11-1021,1114
11-1021,1120
11-1021,1343
11-1021,1346
11-1021,1420
11-1021,5221
11-1031,1111
11-1031,1113
11-2011,1222
11-2021,1221
11-2022,1221
11-2031,1114
11-2031,1219
11-2031,1222
11-3011,1219
11-3021,1330
11-3031,1211
11-3031,1346
11-3051,1321
11-3061,1219
11-3071,1324
11-3111,1212
11-3121,1212
11-3131,1212
11-9013,1311
11-9013,1312
11-9021,1323
11-9021,7111
11-9031,1341
11-9032,1345
11-9033,1345
11-9039,1345
11-9041,1223
11-9051,1412
11-9061,1219
11-9071,1431
11-9081,1411
11-9111,1342
11-9111,1343
11-9121,1223
11-9131,1219
11-9141,3334
11-9151,1344
11-9161,1112
11-9199,1114
11-9199,1213
11-9199,1219
11-9199,1322
11-9199,1349
11-9199,1431
11-9199,1439
13-1011,3339
13-1021,3323
13-1022,3323
13-1023,3323
13-1031,3315
13-1032,3315
13-1041,3351
13-1041,3353
13-1041,3354
13-1051,3339
13-1071,2423
13-1071,3333
13-1074,3333
13-1075,2423
13-1081,2421
13-1111,2421
13-1121,3332
13-1131,4214
13-1141,2423
13-1151,2356
13-1151,2424
13-1161,2431
13-1199,2422
13-1199,3339
13-2011,2411
13-2021,3315
13-2031,2411
13-2041,2413
13-2051,2412
13-2051,2413
13-2052,2412
13-2053,3321
13-2061,2413
13-2071,3312
13-2072,3312
13-2081,3352
13-2082,2411
13-2099,3339
15-1111,2511
15-1121,2511
15-1122,2529
15-1131,2514
15-1132,2512
15-1133,2512
15-1134,2513
15-1134,3514
15-1141,2521
15-1142,2522
15-1142,3514
15-1143,2523
15-1151,3512
15-1152,3513
15-1199,2519
15-1199,2529
15-2011,2120
15-2021,2120
15-2031,2120
15-2041,2120
15-2091,3314
15-2099,3314
17-1011,2161
17-1012,2162
17-1021,2165
17-1022,2165
17-2011,2144
17-2021,2144
17-2031,2149
17-2041,2145
17-2051,2142
17-2061,2152
17-2071,2151
17-2072,2153
17-2072,2152
17-2081,2143
17-2111,2149
17-2112,2141
17-2121,2144
17-2131,2146
17-2131,2149
17-2141,2144
17-2151,2146
17-2161,2149
17-2171,2146
17-2199,2149
17-3011,3118
17-3012,3118
17-3013,3118
17-3019,3118
17-3021,3115
17-3022,3112
17-3023,3113
17-3023,3114
17-3023,3155
17-3023,3522
17-3024,3113
17-3024,3115
17-3025,3119
17-3026,3119
17-3027,3115
17-3029,3115
17-3029,3116
17-3029,3117
17-3029,3119
17-3031,3112
19-1011,2131
19-1012,2131
19-1013,2131
19-1013,2132
19-1021,2131
19-1022,2131
19-1023,2131
19-1029,2131
19-1031,2133
19-1032,2132
19-1041,2131
19-1042,2131
19-1099,2131
19-2011,2111
19-2012,2111
19-2021,2112
19-2031,2113
19-2032,2113
19-2032,2146
19-2041,2133
19-2042,2114
19-2043,2114
19-2099,2111
19-2099,2112
19-2099,2113
19-2099,2114
19-3011,2631
19-3022,2120
19-3031,2634
19-3032,2634
19-3039,2634
19-3041,2632
19-3051,2164
19-3091,2632
19-3092,2632
19-3093,2633
19-3094,2633
19-3099,2633
19-3099,2643
19-4011,3142
19-4021,3141
19-4031,3111
19-4041,3111
19-4041,3117
19-4051,3119
19-4061,3314
19-4091,3141
19-4092,3119
19-4093,3143
19-4099,3111
19-4099,3119
21-1011,2635
21-1012,2359
21-1012,2423
21-1013,2635
21-1014,2635
21-1015,2635
21-1019,2635
21-1021,2635
21-1022,2635
21-1023,2635
21-1029,2635
21-1091,2263
21-1092,2635
21-1093,3412
21-1094,3253
21-1099,2635
21-2011,2636
21-2021,2636
21-2099,3413
23-1011,2611
23-1012,3411
23-1021,2612
23-1022,2619
23-1023,2612
23-2011,3411
23-2091,3343
23-2093,3411
23-2099,3411
25-1011,2310
25-1021,2310
25-1022,2310
25-1031,2310
25-1032,2310
25-1041,2310
25-1042,2310
25-1043,2310
25-1051,2310
25-1052,2310
25-1053,2310
25-1054,2310
25-1061,2310
25-1062,2310
25-1063,2310
25-1064,2310
25-1065,2310
25-1066,2310
25-1067,2310
25-1069,2310
25-1071,2310
25-1072,2310
25-1081,2310
25-1082,2310
25-1111,2310
25-1112,2310
25-1113,2310
25-1121,2310
25-1122,2310
25-1123,2310
25-1124,2310
25-1125,2310
25-1126,2310
25-1191,2310
25-1192,2310
25-1193,2310
25-1194,2320
25-1199,2310
25-2011,2342
25-2012,2342
25-2021,2341
25-2022,2341
25-2023,2320
25-2031,2330
25-2032,2320
25-2051,2352
25-2052,2352
25-2053,2352
25-2054,2352
25-2059,2352
25-3011,2353
25-3021,2353
25-3021,2354
25-3021,2355
25-3021,3422
25-3021,3423
25-3021,5165
25-3099,2359
25-3099,2353
25-3099,2355
25-4011,2621
25-4012,2621
25-4013,3433
25-4021,2622
25-4031,3433
25-4031,4411
25-9011,2622
25-9021,2132
25-9031,2351
25-9041,5312
25-9099,2359
27-1011,2654
27-1012,2651
27-1012,3433
27-1012,7314
27-1012,7317
27-1012,7319
27-1013,2651
27-1013,3118
27-1014,2166
27-1019,3435
27-1021,2163
27-1022,2163
27-1023,7549
27-1024,2166
27-1025,3432
27-1026,3432
27-1027,3432
27-1029,2163
27-2011,2655
27-2012,2654
27-2021,3421
27-2022,3422
27-2023,3422
27-2031,2653
27-2032,2653
27-2041,2652
27-2042,2652
27-2099,2659
27-2099,3435
27-2099,5161
27-3011,2656
27-3012,2656
27-3021,2656
27-3022,2642
27-3031,2432
27-3041,2641
27-3041,2642
27-3042,2641
27-3043,2641
27-3043,2431
27-3091,2643
27-3099,3435
27-4011,3521
27-4012,3521
27-4013,3521
27-4014,3521
27-4021,3431
27-4031,3521
27-4032,2654
27-4099,3435
27-4099,3521
29-1011,2269
29-1021,2261
29-1022,2261
29-1023,2261
29-1024,2261
29-1029,2261
29-1031,2265
29-1041,2267
29-1051,2262
29-1061,2212
29-1062,2211
29-1063,2211
29-1064,2212
29-1065,2211
29-1066,2212
29-1067,2212
29-1069,2211
29-1069,2212
29-1071,2240
29-1081,2269
29-1122,2269
29-1123,2264
29-1124,3211
29-1125,2269
29-1126,3259
29-1127,2266
29-1128,2264
29-1129,2269
29-1131,2250
29-1141,2221
29-1151,2221
29-1161,2222
29-1171,2221
29-1181,2266
29-1199,2230
29-1199,2269
29-1199,3255
29-2011,3212
29-2012,3212
29-2021,3251
29-2031,3259
29-2032,3211
29-2033,3211
29-2034,3211
29-2035,3211
29-2041,3258
29-2051,3259
29-2052,3213
29-2053,3259
29-2054,3259
29-2056,3240
29-2057,3256
29-2061,3221
29-2071,3252
29-2081,3254
29-2091,3214
29-2092,3214
29-2099,3259
29-9011,2263
29-9012,3257
